PM2.5,PM10,Date&Time
  12mg/m3,  13mg/m3,2020-02-04 12:17:01
  12mg/m3,  13mg/m3,2020-02-04 12:17:06
  14mg/m3,  15mg/m3,2020-02-04 12:17:11
  14mg/m3,  15mg/m3,2020-02-04 12:17:16
  12mg/m3,  13mg/m3,2020-02-04 12:17:21
  12mg/m3,  13mg/m3,2020-02-04 12:17:26
  12mg/m3,  13mg/m3,2020-02-04 12:17:31
  10mg/m3,  11mg/m3,2020-02-04 12:17:36
  11mg/m3,  14mg/m3,2020-02-04 12:17:41
  13mg/m3,  20mg/m3,2020-02-04 12:17:46
  14mg/m3,  20mg/m3,2020-02-04 12:17:51
  11mg/m3,  15mg/m3,2020-02-04 12:17:56
  12mg/m3,  15mg/m3,2020-02-04 12:18:01
  12mg/m3,  14mg/m3,2020-02-04 12:18:06
  11mg/m3,  12mg/m3,2020-02-04 12:18:11
  11mg/m3,  12mg/m3,2020-02-04 12:18:16
  11mg/m3,  12mg/m3,2020-02-04 12:18:21
  11mg/m3,  12mg/m3,2020-02-04 12:18:26
   9mg/m3,  10mg/m3,2020-02-04 12:18:31
   8mg/m3,   9mg/m3,2020-02-04 12:18:36
   8mg/m3,  11mg/m3,2020-02-04 12:18:41
   8mg/m3,  11mg/m3,2020-02-04 12:18:46
   9mg/m3,  11mg/m3,2020-02-04 12:18:51
   9mg/m3,  11mg/m3,2020-02-04 12:18:56
   8mg/m3,  11mg/m3,2020-02-04 12:19:01
   9mg/m3,  10mg/m3,2020-02-04 12:19:06
   9mg/m3,  10mg/m3,2020-02-04 12:19:11
   9mg/m3,  11mg/m3,2020-02-04 12:19:16
   9mg/m3,  11mg/m3,2020-02-04 12:19:21
  10mg/m3,  11mg/m3,2020-02-04 12:19:26
  10mg/m3,  11mg/m3,2020-02-04 12:19:31
   9mg/m3,  11mg/m3,2020-02-04 12:19:36
  10mg/m3,  11mg/m3,2020-02-04 12:19:41
  11mg/m3,  12mg/m3,2020-02-04 12:19:46
  12mg/m3,  13mg/m3,2020-02-04 12:19:51
  10mg/m3,  11mg/m3,2020-02-04 12:19:56
  12mg/m3,  13mg/m3,2020-02-04 12:20:01
  11mg/m3,  12mg/m3,2020-02-04 12:20:06
  10mg/m3,  11mg/m3,2020-02-04 12:20:11
  10mg/m3,  11mg/m3,2020-02-04 12:20:16
  10mg/m3,  11mg/m3,2020-02-04 12:20:21
   9mg/m3,  10mg/m3,2020-02-04 12:20:26
   9mg/m3,  10mg/m3,2020-02-04 12:20:31
  10mg/m3,  11mg/m3,2020-02-04 12:20:36
  12mg/m3,  14mg/m3,2020-02-04 12:20:41
  14mg/m3,  15mg/m3,2020-02-04 12:20:46
  13mg/m3,  14mg/m3,2020-02-04 12:20:51
  13mg/m3,  14mg/m3,2020-02-04 12:20:56
  12mg/m3,  13mg/m3,2020-02-04 12:21:01
  12mg/m3,  13mg/m3,2020-02-04 12:21:06
  12mg/m3,  13mg/m3,2020-02-04 12:21:11
  12mg/m3,  13mg/m3,2020-02-04 12:21:16
  13mg/m3,  14mg/m3,2020-02-04 12:21:21
  11mg/m3,  12mg/m3,2020-02-04 12:21:26
  10mg/m3,  12mg/m3,2020-02-04 12:21:31
   9mg/m3,  11mg/m3,2020-02-04 12:21:36
  11mg/m3,  12mg/m3,2020-02-04 12:21:41
   9mg/m3,  10mg/m3,2020-02-04 12:21:46
  11mg/m3,  12mg/m3,2020-02-04 12:21:51
  11mg/m3,  12mg/m3,2020-02-04 12:21:56
  10mg/m3,  11mg/m3,2020-02-04 12:22:01
  11mg/m3,  12mg/m3,2020-02-04 12:22:06
  11mg/m3,  12mg/m3,2020-02-04 12:22:11
  11mg/m3,  12mg/m3,2020-02-04 12:22:16
  12mg/m3,  14mg/m3,2020-02-04 12:22:21
  14mg/m3,  15mg/m3,2020-02-04 12:22:26
  14mg/m3,  15mg/m3,2020-02-04 12:22:31
  11mg/m3,  12mg/m3,2020-02-04 12:22:36
  10mg/m3,  11mg/m3,2020-02-04 12:22:41
   9mg/m3,  10mg/m3,2020-02-04 12:22:46
   9mg/m3,  10mg/m3,2020-02-04 12:22:51
  10mg/m3,  12mg/m3,2020-02-04 12:22:56
  11mg/m3,  12mg/m3,2020-02-04 12:23:01
